customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churned,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
NEW-0146,2024-10-25,Organic,2024-11-24,Premium,Monthly,,,22.99,1610,14,0,Rohit Rana,India,West Bengal,Female,1978-06-07,,,,
NEW-0147,2020-07-18,Organic,2020-08-17,Basic,Monthly,,,6.99,578,24,0,Rohan Mehta,India,Punjab,Female,1971-11-21,2020-12-08,N,70.0,1.0
NEW-0148,2023-04-27,Refferal,2023-05-28,Basic,Monthly,,,6.99,475,24,0,Priya Kapoor,India,Uttar Pradesh,Female,1985-10-26,,,,
NEW-0149,2021-05-16,Paid,2021-06-13,Basic,Monthly,,,6.99,523,14,0,Rohan Mehta,India,Maharashtra,Female,1973-12-28,,,,
NEW-0150,2022-06-07,Paid,2023-06-08,Standard,Annual,,,13.99,1560,20,0,Divya Rana,India,West Bengal,Female,1978-06-25,,,,
NEW-0151,2025-03-04,Paid,2026-03-04,Basic,Annual,,,8.99,425,24,0,Bhavna Singh,India,Karnataka,Male,1977-06-01,,,,
NEW-0152,2022-02-15,Paid,2022-03-17,Basic,Monthly,2022-05-09,Poor service,6.99,410,98,1,Tarun Saini,India,Rajasthan,Female,2005-08-15,,,,
NEW-0153,2025-11-30,Organic,2025-12-30,Premium,Monthly,,,28.99,1518,15,0,Divya Mehta,India,Uttar Pradesh,Male,2005-06-21,,,,
NEW-0154,2020-09-05,Organic,2022-09-05,Standard,Annual,,,15.99,1520,24,0,Kriti Yadav,India,Uttar Pradesh,Female,1987-09-15,,,,
NEW-0155,2025-11-12,Organic,2025-12-12,Premium,Monthly,2026-01-01,Too expensive,24.99,1057,70,1,Naman Yadav,India,Haryana,Female,1978-01-26,2026-04-14,Y,20.0,1.0
NEW-0156,2019-07-28,Organic,2020-07-28,Basic,Annual,2020-08-15,Switched to competitor,6.99,527,82,1,Naina Arora,India,Rajasthan,Female,1970-11-19,2023-04-17,Y,20.0,2.0
NEW-0157,2019-05-17,Paid,2019-06-14,Basic,Monthly,2019-10-21,Poor service,6.99,395,80,1,Rohan Joshi,India,West Bengal,Male,1972-02-29,,,,
NEW-0158,2023-02-23,Refferal,2023-03-25,Premium,Monthly,,,24.99,1888,36,0,Vivek Agarwal,India,Tamil Nadu,Male,2001-02-11,,,,
NEW-0159,2023-01-17,Paid,2025-01-16,Basic,Annual,,,6.99,632,26,0,Isha Malhotra,India,Rajasthan,Female,1982-01-22,,,,
NEW-0160,2021-05-16,Paid,2021-06-15,Basic,Monthly,2021-09-17,Too expensive,6.99,434,60,1,Rohit Yadav,India,Gujarat,Male,2004-01-08,,,,
NEW-0161,2026-03-29,Refferal,2027-03-30,Basic,Annual,,,8.99,356,25,0,Riya Sharma,India,Uttar Pradesh,Female,1993-05-28,2026-05-26,N,80.0,1.0
NEW-0162,2024-08-12,Organic,2026-08-12,Basic,Annual,,,6.99,474,10,0,Yash Agarwal,India,Gujarat,Female,2001-01-01,2025-02-03,N,50.0,1.0
NEW-0163,2021-04-22,Organic,2021-05-22,Basic,Monthly,2021-11-16,Not enough content,6.99,381,75,1,Kavya Malhotra,India,Uttar Pradesh,Male,1992-02-21,2023-08-15,Y,50.0,1.0
NEW-0164,2023-01-09,Organic,2023-02-06,Premium,Monthly,,,28.99,1935,25,0,Aryan Agarwal,India,Haryana,Female,1976-09-26,,,,
NEW-0165,2019-04-30,Paid,2020-04-29,Standard,Annual,,,16.99,1841,4,0,Sourabh Yadav,India,West Bengal,Female,1994-03-14,,,,
NEW-0166,2024-06-01,Organic,2024-07-01,Basic,Monthly,,,7.99,436,23,0,Harsh Yadav,India,Gujarat,Female,1992-05-18,,,,
NEW-0167,2024-02-04,Organic,2026-02-03,Standard,Annual,,,16.99,1069,34,0,Shivam Saini,India,West Bengal,Male,1992-05-24,,,,
NEW-0168,2026-07-17,Organic,2026-08-16,Premium,Monthly,2026-07-31,Not enough content,28.99,826,61,1,Kriti Singh,India,Karnataka,Female,1984-01-31,,,,
NEW-0169,2021-08-12,Paid,2021-09-12,Standard,Monthly,,,16.99,1308,40,0,Mohit Bansal,India,Gujarat,Female,1999-11-09,,,,
NEW-0170,2021-05-14,Refferal,2021-06-14,Basic,Monthly,,,8.99,506,33,0,Aarav Bansal,India,Rajasthan,Female,1974-04-03,,,,
NEW-0171,2026-06-25,Organic,2026-07-23,Basic,Monthly,,,8.99,297,20,0,Akash Agarwal,India,Rajasthan,Male,1999-12-05,,,,
NEW-0172,2021-02-05,Organic,2022-02-06,Basic,Annual,,,6.99,674,16,0,Tanya Bansal,India,Rajasthan,Male,2006-08-08,,,,
NEW-0173,2019-06-15,Organic,2019-07-13,Standard,Monthly,,,13.99,1298,19,0,Meera Shah,India,Punjab,Female,1974-12-30,,,,
NEW-0174,2023-10-15,Organic,2023-11-12,Basic,Monthly,,,8.99,471,29,0,Ayush Patel,India,Punjab,Male,1989-11-11,,,,
NEW-0175,2026-07-21,Paid,2028-07-20,Standard,Annual,,,13.99,919,29,0,Sanya Shah,India,Gujarat,Male,1973-02-27,2026-07-05,N,90.0,1.0
NEW-0176,2024-01-02,Organic,2024-02-02,Standard,Monthly,2024-06-22,Too expensive,15.99,739,77,1,Kriti Nair,India,Punjab,Male,1976-02-09,2025-03-13,Y,20.0,1.0
NEW-0177,2020-09-02,Organic,2021-09-02,Premium,Annual,2022-01-26,Switched to competitor,24.99,2146,99,1,Naina Chauhan,India,Delhi,Female,1979-09-07,,,,
NEW-0178,2019-07-14,Organic,2020-07-14,Standard,Annual,,,16.99,1928,38,0,Isha Joshi,India,Punjab,Female,1979-09-01,2026-01-08,Y,60.0,3.0
NEW-0179,2026-03-27,Organic,2026-04-27,Standard,Monthly,2026-07-31,Not enough content,16.99,462,62,1,Ananya Patel,India,Maharashtra,Male,1987-06-21,,,,
NEW-0180,2019-04-14,Paid,2019-05-14,Basic,Monthly,2019-06-05,Poor service,6.99,451,87,1,Tushar Malhotra,India,Tamil Nadu,Male,1994-07-14,,,,
NEW-0181,2023-07-19,Paid,2023-08-18,Basic,Monthly,,,7.99,442,36,0,Pankaj Verma,India,Rajasthan,Male,1982-11-12,,,,
NEW-0182,2021-01-30,Organic,2021-03-02,Basic,Monthly,,,8.99,552,5,0,Ananya Mishra,India,Maharashtra,Male,1970-09-18,,,,
NEW-0183,2024-02-02,Refferal,2024-03-03,Standard,Monthly,2024-07-11,Switched to competitor,16.99,671,74,1,Bhavna Verma,India,Delhi,Female,1971-12-21,2026-01-25,Y,50.0,1.0
NEW-0184,2022-01-01,Organic,2022-01-29,Premium,Monthly,,,28.99,2022,24,0,Ananya Verma,India,Maharashtra,Male,1975-12-28,,,,
NEW-0185,2021-12-31,Organic,2022-12-31,Premium,Annual,,,24.99,3026,41,0,Isha Rana,India,Punjab,Male,2007-06-15,,,,
NEW-0186,2019-05-11,Refferal,2019-06-08,Basic,Monthly,,,6.99,585,48,0,Akshay Patel,India,Haryana,Male,1981-10-15,,,,
NEW-0187,2025-05-01,Refferal,2025-06-01,Premium,Monthly,,,24.99,1397,29,0,Simran Verma,India,Punjab,Female,1989-03-17,,,,
NEW-0188,2023-10-09,Refferal,2023-11-08,Standard,Monthly,,,14.99,998,43,0,Aditi Rana,India,Delhi,Male,1981-04-10,,,,
NEW-0189,2021-04-28,Organic,2023-04-28,Standard,Annual,,,15.99,1727,35,0,Bhavna Shah,India,West Bengal,Male,1975-06-23,,,,
NEW-0190,2025-06-29,Organic,2026-06-29,Premium,Annual,,,26.99,1669,36,0,Varun Joshi,India,Karnataka,Male,1991-04-22,2025-08-07,Y,80.0,1.0
NEW-0191,2024-04-17,Refferal,2024-05-15,Basic,Monthly,,,6.99,444,10,0,Ayush Bansal,India,Rajasthan,Male,1975-06-29,2025-11-15,N,80.0,1.0
NEW-0192,2020-08-10,Organic,2020-09-07,Basic,Monthly,2020-10-06,Switched to competitor,6.99,403,90,1,Pooja Arora,India,Tamil Nadu,Female,1975-06-16,,,,
NEW-0193,2023-09-30,Organic,2023-10-28,Premium,Monthly,2024-04-19,Too expensive,22.99,1414,67,1,Ansh Joshi,India,Uttar Pradesh,Female,1971-07-30,,,,
NEW-0194,2026-02-08,Refferal,2027-02-09,Standard,Annual,2026-07-31,Switched to competitor,15.99,566,78,1,Ankit Patel,India,West Bengal,Female,1982-09-23,2026-03-02,N,50.0,1.0
NEW-0195,2019-10-04,Organic,2019-11-04,Premium,Monthly,,,28.99,2526,23,0,Harsh Das,India,Tamil Nadu,Female,1997-12-17,,,,
NEW-0196,2019-04-04,Refferal,2019-05-04,Standard,Monthly,,,14.99,1563,33,0,Yash Arora,India,Maharashtra,Male,1983-02-15,2019-08-28,Y,90.0,1.0
NEW-0197,2019-01-10,Organic,2019-02-07,Standard,Monthly,,,15.99,1520,23,0,Vivek Patel,India,Uttar Pradesh,Male,1972-08-20,,,,
NEW-0198,2021-08-04,Organic,2021-09-03,Standard,Monthly,,,15.99,1125,38,0,Neha Bansal,India,Haryana,Female,1975-09-10,,,,
NEW-0199,2024-08-04,Organic,2024-09-04,Premium,Monthly,,,22.99,1853,31,0,Sourabh Verma,India,Delhi,Male,1974-04-21,,,,
NEW-0200,2024-04-01,Organic,2024-05-01,Basic,Monthly,2024-07-22,Poor service,6.99,314,77,1,Ankit Chauhan,India,Karnataka,Female,1997-02-18,2025-01-31,N,80.0,1.0
NEW-0201,2026-03-25,Organic,2026-04-24,Basic,Monthly,2026-07-02,Too expensive,8.99,222,72,1,Naman Singh,India,Tamil Nadu,Male,1999-04-16,,,,
NEW-0202,2020-04-26,Organic,2020-05-26,Basic,Monthly,,,6.99,609,26,0,Rohan Mishra,India,Tamil Nadu,Female,1998-05-18,,,,
NEW-0203,2022-01-29,Organic,2022-02-26,Standard,Monthly,,,15.99,1277,32,0,Vivek Patel,India,Uttar Pradesh,Female,1999-11-08,,,,
NEW-0204,2025-09-19,Paid,2025-10-20,Basic,Monthly,,,6.99,317,26,0,Ankit Verma,India,Gujarat,Female,1975-10-03,,,,
NEW-0205,2022-11-07,Organic,2023-11-08,Basic,Annual,2024-03-01,Too expensive,8.99,426,78,1,Divya Bansal,India,Uttar Pradesh,Female,1995-10-19,,,,
NEW-0206,2019-11-05,Organic,2019-12-06,Basic,Monthly,,,6.99,586,19,0,Kavya Sharma,India,Uttar Pradesh,Male,1983-05-12,2020-04-13,N,50.0,1.0
NEW-0207,2023-02-13,Organic,2023-03-13,Basic,Monthly,,,8.99,478,31,0,Sakshi Das,India,Delhi,Female,1989-05-06,,,,
NEW-0208,2020-04-08,Refferal,2020-05-08,Basic,Monthly,2020-08-03,Too expensive,8.99,446,79,1,Riya Agarwal,India,Gujarat,Male,1974-11-29,,,,
NEW-0209,2026-05-01,Paid,2026-05-29,Standard,Monthly,,,15.99,705,25,0,Nisha Agarwal,India,Haryana,Female,1972-06-14,,,,
NEW-0210,2022-03-15,Refferal,2022-04-14,Basic,Monthly,,,8.99,537,16,0,Manish Joshi,India,Maharashtra,Male,1991-04-18,,,,
NEW-0211,2020-10-14,Organic,2021-10-14,Basic,Annual,,,8.99,752,36,0,Naman Patel,India,Delhi,Male,2004-08-26,,,,
NEW-0212,2019-07-08,Organic,2019-08-07,Standard,Monthly,2020-01-14,Too expensive,14.99,1009,78,1,Tanvi Nair,India,Punjab,Male,1980-07-27,,,,
NEW-0213,2022-09-24,Organic,2022-10-25,Standard,Monthly,2022-12-11,Too expensive,14.99,732,75,1,Raj Kapoor,India,Uttar Pradesh,Female,1998-12-10,,,,
NEW-0214,2019-02-16,Refferal,2019-03-18,Standard,Monthly,,,16.99,1554,36,0,Varun Mehta,India,Haryana,Male,1997-07-30,,,,
NEW-0215,2021-06-14,Organic,2021-07-14,Standard,Monthly,2021-09-18,Not enough content,16.99,839,99,1,Arjun Yadav,India,Punjab,Male,1974-01-12,,,,
NEW-0216,2020-08-12,Organic,2020-09-12,Premium,Monthly,,,24.99,2620,22,0,Aditya Chauhan,India,Uttar Pradesh,Female,1994-09-15,,,,
NEW-0217,2025-08-22,Organic,2025-09-21,Basic,Monthly,,,6.99,371,20,0,Neha Gupta,India,Punjab,Male,1984-11-10,,,,
NEW-0218,2021-08-16,Paid,2021-09-16,Standard,Monthly,2022-02-03,Poor service,16.99,718,83,1,Vikas Yadav,India,Karnataka,Female,1980-10-21,,,,
NEW-0219,2024-12-03,Organic,2024-12-31,Standard,Monthly,,,13.99,767,21,0,Manish Gupta,India,Gujarat,Male,1998-11-10,,,,
NEW-0220,2020-08-29,Organic,2020-09-26,Standard,Monthly,,,13.99,1314,36,0,Pankaj Shah,India,Rajasthan,Male,1997-08-30,,,,
NEW-0221,2019-02-17,Organic,2019-03-17,Standard,Monthly,,,15.99,1383,16,0,Vikas Gupta,India,Rajasthan,Male,1996-12-11,,,,
NEW-0222,2025-07-21,Organic,2026-07-22,Basic,Annual,,,7.99,426,26,0,Varun Bansal,India,Rajasthan,Female,1999-12-26,,,,
NEW-0223,2022-01-15,Paid,2023-01-15,Basic,Annual,2023-02-24,Switched to competitor,6.99,416,87,1,Vikas Kapoor,India,Karnataka,Male,1993-06-04,2024-09-17,Y,40.0,3.0
NEW-0224,2024-06-20,Organic,2024-07-21,Basic,Monthly,,,6.99,363,24,0,Mohit Joshi,India,Tamil Nadu,Male,2006-02-09,,,,
NEW-0225,2024-08-20,Paid,2025-08-20,Standard,Annual,,,15.99,1030,20,0,Meera Gupta,India,Uttar Pradesh,Female,1993-12-03,,,,
NEW-0226,2023-03-11,Refferal,2024-03-10,Standard,Annual,,,13.99,1175,15,0,Nikhil Rana,India,Haryana,Female,1994-11-12,,,,
NEW-0227,2022-02-23,Paid,2022-03-26,Basic,Monthly,,,7.99,551,32,0,Priya Malhotra,India,West Bengal,Male,1996-12-01,,,,
NEW-0228,2024-11-10,Paid,2024-12-08,Standard,Monthly,2025-04-06,Switched to competitor,14.99,566,76,1,Yash Patel,India,Uttar Pradesh,Female,2000-03-17,,,,
NEW-0229,2022-01-16,Organic,2022-02-15,Basic,Monthly,,,6.99,558,21,0,Sakshi Gupta,India,Maharashtra,Female,1980-10-20,2024-12-14,N,70.0,1.0
NEW-0230,2021-05-20,Paid,2022-05-20,Premium,Annual,,,28.99,2858,46,0,Kavya Yadav,India,Uttar Pradesh,Female,1982-02-18,,,,
NEW-0231,2019-12-07,Organic,2020-12-06,Standard,Annual,,,16.99,1916,32,0,Riya Jain,India,Rajasthan,Male,1997-09-01,2022-11-25,N,60.0,1.0
NEW-0232,2021-12-19,Paid,2022-01-16,Standard,Monthly,,,16.99,1145,10,0,Shreya Kapoor,India,Tamil Nadu,Female,2006-10-22,,,,
NEW-0233,2021-07-25,Organic,2021-08-22,Standard,Monthly,,,14.99,1245,27,0,Meera Agarwal,India,Rajasthan,Male,1993-12-02,,,,
NEW-0234,2021-12-14,Organic,2023-12-14,Basic,Annual,,,6.99,635,27,0,Ankit Mehta,India,Haryana,Female,2007-10-26,,,,
NEW-0235,2021-05-10,Paid,2021-06-07,Standard,Monthly,,,14.99,1115,11,0,Nisha Joshi,India,Karnataka,Male,1981-12-27,,,,
NEW-0236,2022-04-21,Refferal,2022-05-19,Basic,Monthly,2022-07-02,Too expensive,6.99,306,90,1,Aditi Agarwal,India,Rajasthan,Male,1993-10-10,2026-02-10,N,80.0,1.0
NEW-0237,2021-10-31,Paid,2022-10-31,Standard,Annual,,,15.99,1384,29,0,Ayush Rana,India,Delhi,Male,1973-10-28,,,,
NEW-0238,2023-05-05,Organic,2023-06-05,Basic,Monthly,2023-08-11,Poor service,6.99,358,82,1,Ayush Nair,India,Maharashtra,Female,2002-04-30,,,,
NEW-0239,2020-09-04,Paid,2021-09-04,Standard,Annual,,,14.99,1537,14,0,Mohit Agarwal,India,Rajasthan,Female,1971-02-27,,,,
NEW-0240,2022-08-19,Organic,2023-08-19,Basic,Annual,,,6.99,539,13,0,Tanvi Malhotra,India,Uttar Pradesh,Female,1984-07-19,,,,
NEW-0241,2022-07-25,Organic,2022-08-22,Basic,Monthly,,,7.99,523,29,0,Tanvi Bansal,India,Haryana,Male,1996-04-09,,,,
NEW-0242,2022-05-14,Organic,2023-05-14,Premium,Annual,,,22.99,2471,41,0,Bhavna Kapoor,India,Maharashtra,Male,1998-05-10,,,,
NEW-0243,2019-03-17,Paid,2019-04-17,Standard,Monthly,2019-07-09,Too expensive,16.99,1032,95,1,Riya Singh,India,Maharashtra,Male,1992-09-02,2023-02-01,Y,40.0,1.0
NEW-0244,2026-01-05,Organic,2026-02-05,Basic,Monthly,,,6.99,344,41,0,Mohit Agarwal,India,Rajasthan,Female,1996-05-20,,,,
NEW-0245,2023-05-10,Paid,2023-06-07,Basic,Monthly,,,8.99,429,19,0,Ananya Mishra,India,Rajasthan,Female,1973-02-26,,,,
NEW-0246,2025-12-01,Refferal,2026-12-01,Basic,Annual,,,8.99,447,38,0,Rohan Arora,India,Punjab,Male,1991-07-06,,,,
NEW-0247,2020-01-24,Paid,2020-02-24,Basic,Monthly,2020-03-26,Too expensive,7.99,461,73,1,Naman Malhotra,India,Maharashtra,Female,1992-07-05,,,,
NEW-0248,2022-12-12,Refferal,2023-01-11,Basic,Monthly,,,7.99,493,24,0,Mohit Verma,India,Punjab,Male,1977-07-25,,,,
NEW-0249,2025-03-07,Organic,2026-03-07,Basic,Annual,,,7.99,419,25,0,Varun Nair,India,Gujarat,Male,1994-03-05,2025-12-08,Y,50.0,3.0
NEW-0250,2021-09-14,Organic,2021-10-12,Standard,Monthly,,,15.99,1093,4,0,Aarav Patel,India,Maharashtra,Male,1974-03-31,,,,
NEW-0251,2025-04-01,Paid,2027-04-01,Premium,Annual,,,28.99,1842,29,0,Rahul Kapoor,India,Karnataka,Male,1987-03-22,2026-07-21,Y,50.0,3.0
NEW-0252,2026-06-20,Organic,2027-06-21,Premium,Annual,,,26.99,1609,37,0,Manish Kumar,India,Delhi,Female,2008-04-09,,,,
NEW-0253,2021-12-10,Organic,2022-01-07,Standard,Monthly,,,13.99,1247,19,0,Riya Chauhan,India,Rajasthan,Female,1987-08-25,,,,
NEW-0254,2022-05-28,Organic,2022-06-27,Premium,Monthly,,,28.99,2019,37,0,Sameer Jain,India,Uttar Pradesh,Male,1999-01-21,,,,
NEW-0255,2022-06-09,Refferal,2022-07-07,Basic,Monthly,2022-10-06,Poor service,8.99,383,66,1,Bhavna Mehta,India,Maharashtra,Female,2002-04-21,,,,
NEW-0256,2020-11-29,Refferal,2020-12-27,Standard,Monthly,2021-01-06,Not enough content,13.99,845,71,1,Sonal Kumar,India,Delhi,Female,1975-07-16,,,,
NEW-0257,2021-03-21,Refferal,2021-04-20,Basic,Monthly,,,6.99,528,34,0,Varun Yadav,India,West Bengal,Female,1988-09-14,,,,
NEW-0258,2022-05-15,Refferal,2022-06-15,Basic,Monthly,2022-07-11,Poor service,8.99,303,69,1,Ayush Mishra,India,Rajasthan,Male,1993-05-29,,,,
NEW-0259,2025-10-30,Refferal,2025-11-27,Premium,Monthly,,,26.99,1269,34,0,Raj Shah,India,Rajasthan,Female,2005-06-14,,,,
NEW-0260,2025-12-30,Paid,2026-12-31,Premium,Annual,,,26.99,1760,27,0,Rohit Singh,India,West Bengal,Male,1976-09-18,,,,
NEW-0261,2021-06-30,Refferal,2023-06-30,Basic,Annual,,,7.99,669,29,0,Manish Mishra,India,Uttar Pradesh,Male,1984-11-17,,,,
NEW-0262,2024-11-06,Refferal,2026-11-06,Basic,Annual,,,6.99,522,11,0,Neha Das,India,West Bengal,Female,1977-05-27,,,,
NEW-0263,2022-05-29,Paid,2022-06-28,Basic,Monthly,2022-09-01,Poor service,7.99,312,82,1,Tanvi Patel,India,Karnataka,Female,2000-01-12,2024-10-11,Y,40.0,2.0
NEW-0264,2021-07-07,Paid,2021-08-07,Premium,Monthly,,,26.99,2151,36,0,Divya Mehta,India,Gujarat,Female,1984-05-10,,,,
NEW-0265,2022-06-20,Paid,2022-07-18,Basic,Monthly,2022-12-14,Poor service,7.99,347,65,1,Mohit Gupta,India,Uttar Pradesh,Male,1981-04-17,,,,
NEW-0266,2019-02-20,Refferal,2021-02-19,Basic,Annual,2021-04-04,Poor service,6.99,461,83,1,Sourabh Rana,India,Karnataka,Male,1995-01-20,,,,
NEW-0267,2022-04-15,Organic,2022-05-13,Basic,Monthly,2022-07-01,Switched to competitor,6.99,349,71,1,Sourabh Singh,India,Tamil Nadu,Female,1995-01-14,,,,
NEW-0268,2019-06-24,Refferal,2021-06-23,Premium,Annual,,,22.99,3338,10,0,Sanya Rana,India,Karnataka,Male,2003-03-07,,,,
NEW-0269,2019-07-06,Paid,2021-07-05,Standard,Annual,,,13.99,1763,26,0,Vivek Agarwal,India,West Bengal,Female,2000-04-16,,,,
NEW-0270,2019-02-04,Organic,2019-03-06,Basic,Monthly,2019-07-24,Too expensive,8.99,396,99,1,Rohan Saini,India,Maharashtra,Female,1975-10-26,,,,
NEW-0271,2023-09-12,Organic,2023-10-13,Standard,Monthly,,,15.99,1067,8,0,Aman Sharma,India,Uttar Pradesh,Male,1978-09-06,2024-07-07,Y,30.0,1.0
NEW-0272,2021-03-06,Refferal,2022-03-07,Basic,Annual,,,7.99,745,13,0,Vikas Sharma,India,Karnataka,Male,1995-02-15,,,,
NEW-0273,2021-04-23,Paid,2021-05-24,Standard,Monthly,2021-07-19,Poor service,15.99,970,72,1,Rohit Arora,India,Gujarat,Male,1976-08-29,2023-01-13,N,60.0,1.0
NEW-0274,2021-01-02,Organic,2021-02-01,Standard,Monthly,,,15.99,1153,27,0,Kriti Singh,India,Rajasthan,Male,1985-06-06,,,,
NEW-0275,2025-09-27,Organic,2025-10-25,Standard,Monthly,,,15.99,801,29,0,Harsh Saini,India,Karnataka,Female,2008-03-06,2026-06-23,N,90.0,1.0
NEW-0276,2024-02-07,Organic,2024-03-09,Basic,Monthly,,,7.99,429,22,0,Kriti Yadav,India,Uttar Pradesh,Male,1998-09-24,,,,
NEW-0277,2026-06-02,Paid,2026-06-30,Basic,Monthly,,,7.99,297,21,0,Vivek Verma,India,Haryana,Female,1981-08-23,,,,
NEW-0278,2020-08-08,Paid,2021-08-08,Standard,Annual,,,16.99,1709,11,0,Divya Saini,India,Delhi,Male,1996-03-22,,,,
NEW-0279,2022-05-30,Organic,2023-05-31,Standard,Annual,,,14.99,1362,42,0,Sanya Chauhan,India,West Bengal,Female,2007-07-09,,,,
NEW-0280,2020-12-29,Organic,2021-01-29,Premium,Monthly,,,28.99,2331,26,0,Ananya Chauhan,India,Uttar Pradesh,Female,1987-04-27,,,,
NEW-0281,2025-05-18,Paid,2025-06-15,Premium,Monthly,2025-10-01,Switched to competitor,24.99,1000,93,1,Naina Yadav,India,Tamil Nadu,Female,2001-03-10,,,,
NEW-0282,2024-08-23,Refferal,2026-08-23,Standard,Annual,,,14.99,1160,20,0,Sonal Joshi,India,Karnataka,Female,1971-03-08,,,,
NEW-0283,2025-12-26,Organic,2026-12-26,Basic,Annual,,,6.99,371,27,0,Bhavna Chauhan,India,Uttar Pradesh,Male,1983-11-16,,,,
NEW-0284,2024-02-19,Organic,2024-03-21,Premium,Monthly,,,24.99,1878,27,0,Raj Rana,India,Gujarat,Female,1987-02-19,,,,
NEW-0285,2020-06-12,Organic,2020-07-10,Standard,Monthly,,,13.99,1450,30,0,Pankaj Saini,India,Maharashtra,Male,1993-05-06,2022-08-21,N,90.0,1.0
NEW-0286,2026-02-13,Organic,2027-02-13,Basic,Annual,,,6.99,399,30,0,Ananya Saini,India,Gujarat,Female,1994-01-28,,,,
NEW-0287,2026-01-29,Paid,2027-01-30,Basic,Annual,,,6.99,407,8,0,Bhavna Arora,India,Gujarat,Female,1997-04-23,,,,
NEW-0288,2024-12-26,Organic,2026-12-26,Basic,Annual,,,7.99,488,26,0,Divya Yadav,India,Uttar Pradesh,Male,1974-05-03,,,,
NEW-0289,2022-07-10,Refferal,2022-08-07,Premium,Monthly,2023-01-30,Switched to competitor,22.99,1292,81,1,Nikhil Gupta,India,Delhi,Male,1987-05-05,2022-09-17,Y,40.0,1.0
NEW-0290,2024-04-29,Organic,2024-05-30,Basic,Monthly,2024-08-20,Poor service,6.99,246,62,1,Ansh Agarwal,India,Gujarat,Male,1993-03-22,,,,
NEW-0291,2022-01-15,Organic,2023-01-16,Standard,Annual,,,15.99,1462,25,0,Sanya Rana,India,Karnataka,Male,1973-09-14,,,,
NEW-0292,2022-12-05,Organic,2023-01-05,Standard,Monthly,2023-03-11,Too expensive,16.99,632,85,1,Naman Mishra,India,West Bengal,Female,1982-01-15,,,,
NEW-0293,2022-11-16,Organic,2022-12-16,Basic,Monthly,2022-12-23,Not enough content,8.99,385,82,1,Akash Mehta,India,Rajasthan,Female,1989-04-23,2025-05-25,Y,50.0,1.0
NEW-0294,2024-05-26,Paid,2024-06-23,Basic,Monthly,2024-09-11,Switched to competitor,6.99,280,71,1,Kriti Mehta,India,Punjab,Female,1991-01-01,,,,
NEW-0295,2023-04-10,Organic,2023-05-10,Standard,Monthly,,,16.99,1142,25,0,Pooja Rana,India,Punjab,Male,1979-08-12,,,,
NEW-0296,2025-07-17,Organic,2025-08-16,Premium,Monthly,,,24.99,1555,39,0,Isha Saini,India,West Bengal,Female,1979-09-03,2025-09-20,N,80.0,1.0
NEW-0297,2020-06-24,Paid,2020-07-22,Basic,Monthly,,,6.99,604,28,0,Aman Rana,India,Delhi,Female,1979-01-23,,,,
NEW-0298,2025-04-16,Organic,2025-05-17,Standard,Monthly,2025-09-23,Switched to competitor,13.99,498,84,1,Aman Shah,India,Maharashtra,Female,1971-11-16,,,,
NEW-0299,2019-09-04,Paid,2019-10-02,Standard,Monthly,,,15.99,1423,21,0,Ananya Chauhan,India,Maharashtra,Female,1980-09-07,,,,
NEW-0300,2023-02-17,Organic,2023-03-17,Basic,Monthly,,,8.99,460,51,0,Raj Malhotra,India,Maharashtra,Male,1987-10-27,2025-05-31,N,70.0,1.0
NEW-0301,2023-03-27,Organic,2023-04-26,Standard,Monthly,2023-07-20,Not enough content,15.99,657,70,1,Rahul Rana,India,Punjab,Male,2000-12-31,,,,
NEW-0302,2024-06-03,Organic,2026-06-03,Premium,Annual,,,24.99,2141,18,0,Simran Rana,India,Tamil Nadu,Female,1975-11-22,2024-11-21,Y,80.0,1.0
NEW-0303,2023-12-23,Organic,2024-01-20,Basic,Monthly,,,8.99,414,9,0,Isha Malhotra,India,Uttar Pradesh,Female,1990-05-07,,,,
NEW-0304,2021-05-03,Paid,2022-05-03,Standard,Annual,,,14.99,1410,34,0,Bhavna Chauhan,India,Rajasthan,Male,1974-01-01,2025-09-06,N,80.0,1.0
NEW-0305,2020-11-10,Organic,2020-12-08,Standard,Monthly,,,13.99,1345,50,0,Sneha Malhotra,India,Rajasthan,Male,1974-03-31,,,,
NEW-0306,2023-11-13,Refferal,2024-11-12,Standard,Annual,,,16.99,1158,31,0,Kriti Arora,India,Maharashtra,Male,2002-12-10,,,,
NEW-0307,2024-04-11,Organic,2025-04-12,Standard,Annual,,,13.99,1186,19,0,Pankaj Sharma,India,Haryana,Female,1982-06-05,2025-03-23,N,50.0,1.0
NEW-0308,2025-02-24,Organic,2025-03-24,Basic,Monthly,,,8.99,400,33,0,Arjun Arora,India,Uttar Pradesh,Female,2004-11-25,,,,
NEW-0309,2023-05-25,Refferal,2023-06-24,Basic,Monthly,,,7.99,415,26,0,Aditya Kumar,India,Karnataka,Male,1978-03-22,,,,
NEW-0310,2026-03-17,Organic,2027-03-17,Basic,Annual,,,6.99,375,16,0,Pankaj Sharma,India,Karnataka,Female,2003-04-13,,,,
NEW-0311,2024-10-14,Paid,2024-11-11,Standard,Monthly,,,15.99,924,28,0,Varun Kapoor,India,Maharashtra,Female,1984-06-21,,,,
